date,title,url,source,topic
2021-08-12T05:00:09Z,‘I worry my daughters will never know peace’: women flee the Taliban – again,https://amp.theguardian.com/global-development/2021/aug/12/i-worry-my-daughters-will-never-know-peace-women-flee-the-taliban-again-afghanistan,,Afghanistan
2021-08-12T10:11:05Z,Biden Must Call Off the B-52s Bombing Afghan Cities,https://www.nakedcapitalism.com/2021/08/biden-must-call-off-the-b-52s-bombing-afghan-cities.html,,Afghanistan
2021-08-12T22:23:01Z,Opinion: Biden deserves blame for the Afghanistan debacle,https://www.cnn.com/2021/08/12/opinions/afghanistan-president-biden-debacle-bergen/index.html,,Afghanistan
2021-08-12T14:09:27Z,US and others laying groundwork for Afghan embassy evacuations,https://amp.theguardian.com/world/2021/aug/12/us-others-laying-groundwork-afghanistan-embassy-evacuations-kabul-taliban-,,Afghanistan
2021-08-12T05:21:46Z,Taliban fighters close in on southern city as Afghanistan army chief is replaced,https://amp.theguardian.com/world/2021/aug/12/afghanistan-taliban-lashkar-gah--army-chief-is-replaced,,Afghanistan
2021-08-12T12:00:00Z,From Kobani To Kabul: Can U.S. Bombers Help Halt Taliban Advances In Afghanistan?,https://www.forbes.com/sites/pauliddon/2021/08/12/from-kobani-to-kabul-can-us-bombers-halt-taliban-advances-in-afghanistan/,,Afghanistan
2021-08-12T02:59:14Z,Afghan leadership has to determine if they have the political will to fight back: US,https://indianexpress.com/article/world/afghan-leadership-has-to-determine-if-they-have-the-political-will-to-fight-back-white-house-7449889/,,Afghanistan
2021-08-12T16:28:39Z,"Taliban capture third-largest city in Afghanistan, 11th provincial capital in last week",https://www.axios.com/taliban-captures-10-afghan-capital-pentagon-3c64f83b-8f16-4ba8-a05f-a08fe8314e96.html,,Afghanistan
2021-08-12T13:00:00Z,Google Bans Location Data Firm Funded by Former Saudi Intelligence Head,https://www.vice.com/en/article/5db4ad/google-bans-safegraph-former-saudi-intelligence,,Afghanistan
2021-08-12T02:05:00Z,Sean Hannity says lawyers won't let him accept copy of Hunter Biden laptop,https://news.yahoo.com/sean-hannity-says-lawyers-wont-020500857.html,,Hunter Biden
2021-08-12T00:05:00Z,Pillow talk video shows Hunter Biden saying he lost laptop in Vegas and feared blackmail,https://news.yahoo.com/pillow-talk-video-shows-hunter-000500518.html,,Hunter Biden
2021-08-12T19:14:35Z,Hunter Biden Trending On Twitter Again – Highlighting The Potential Spread Of Misinformation As Well As Our National Divide,https://www.forbes.com/sites/petersuciu/2021/08/12/hunter-biden-trending-on-twitter-again--highlighting-the-potential-spread-of-misinformation-as-well-as-our-national-divide/,,Hunter Biden
2021-08-12T14:20:42Z,"Hunter Biden tells prostitute in video he lost ANOTHER laptop containing 'crazy sex' footage, blames the Russians – report",https://www.rt.com/usa/531861-hunter-biden-lost-laptop-sex/,,Hunter Biden
2021-08-12T18:22:28Z,"WHERE’S HUNTER, FAT? Video Shows Naked Hunter Biden Telling Hooker The Russians Stole His Laptop….",https://pjmedia.com/instapundit/467331/,,Hunter Biden
2021-08-12T03:37:12Z,"Video Reportedly Shows Hunter Biden Naked, Claiming Another Laptop Was Stolen With ‘Crazy Sex’ In It",https://dailycaller.com/2021/08/11/video-hunter-biden-naked-laptop-stolen-crazy-sex/,,Hunter Biden
2021-08-12T10:30:02Z,MY SHOCKED FACE IS GETTING A WORKOUT:  Video Surfaces of Hunter Biden Telling Prostitute The Russia…,https://pjmedia.com/instapundit/467274/,,Hunter Biden
2021-08-12T19:17:15Z,‘Glad We Have a First Family With Dignity Again’: Twitter in Tears Over New Biden Laptop Scandal,https://sputniknews.com/viral/202108121083591921-glad-we-have-a-first-family-with-dignity-again-twitter-in-tears-over-new-biden-laptop-scandal/,,Hunter Biden
2021-08-12T04:02:49Z,'Why has there been no arrest?' Sean Hannity demands answers over Hunter Biden's laptops,https://www.dailymail.co.uk/news/article-9885993/Why-no-arrest-Sean-Hannity-demands-answers-Hunter-Bidens-laptops.html,,Hunter Biden
2021-08-12T07:13:59Z,"'Blackmail, Sex Tapes and More': Hannity Asks Why No Arrests Made in Hunter Biden 'Laptop Scandal'",https://sputniknews.com/us/202108121083586225-blackmail-sex-tapes-and-more-hannity-asks-why-no-arrests-made-in-hunter-biden-laptop-scandal/,,Hunter Biden
2021-08-12T12:39:55Z,"Hunter Biden Laptop Video Sparks Tidal Wave of Jokes, Outrage",https://www.newsweek.com/hunter-biden-joe-biden-laptop-delaware-tape-video-1618667,,Hunter Biden
2021-08-12T03:12:16Z,Biden REFUSES to disclose who's visited him in Delaware since becoming president,https://www.dailymail.co.uk/news/article-9885881/Biden-REFUSES-disclose-whos-visited-Delaware-president.html,,Hunter Biden
2021-08-12T17:30:17Z,Left vs. Right Paradigm Lie: Trump and The Bidens Are Both Sinister Puppets,https://www.shtfplan.com/headline-news/left-vs-right-paradigm-lie-trump-and-the-bidens-are-both-sinister-puppets,,Hunter Biden
2021-08-12T20:06:00Z,"Every Year, Artists Flock for the Chance to Win This Duck Stamp Contest",http://hyperallergic.com/669560/artists-flock-to-this-duck-stamp-contest/,,Hunter Biden
2021-08-12T03:36:30Z,Biden Will Not Share Visitor Logs From Delaware Residences Despite 'Commitment to Transparency',https://sputniknews.com/us/202108121083585464-biden-will-not-share-visitor-logs-from-delaware-residences-despite-commitment-to-transparency/,,Hunter Biden
2021-08-12T12:49:15Z,'Why is the FBI not doing anything?': Sean Hannity says feds are not properly investigating Hunter Biden's laptop after DailyMail.com revealed new video from it of president's son saying Russian drug dealers stole his computer,http://www.yourdestinationnow.com/2021/08/why-is-fbi-not-doing-anything-sean.html,,Hunter Biden
2021-08-12T14:28:31Z,Naked Hunter Biden Tells Hooker That Russian Drug Dealers Stole Another Laptop For Blackmail (VIDEO),http://postnewsd2.blogspot.com/2021/08/naked-hunter-biden-tells-hooker-that.html,,Hunter Biden
2021-08-12T05:00:00Z,O.M.G! You won’t believe what Hunter Biden told a prostitute.,https://www.americanthinker.com/blog/2021/08/omg_you_wont_believe_what_hunter_biden_told_a_prostitute.html,,Hunter Biden
2021-08-12T11:44:48Z,White House Refuses Transparency: ‘We Are Not Going To Be Providing’ Info On Who Biden Meets In Delaware,http://www.stationgossip.com/2021/08/white-house-refuses-transparency-we-are.html,,Hunter Biden
2021-08-12T13:42:10Z,So much for ‘restoring transparency and trust’! Joe Biden REFUSES to disclose who’s visited his Delaware homes during his 17 trips back since becoming president despite vowing to be more open about guests than Donald Trump,http://postnewsd2.blogspot.com/2021/08/so-much-for-restoring-transparency-and.html,,Hunter Biden
2021-08-12T16:37:30Z,Biden Desperate as Vax Narrative Falls Apart-Clif High,https://usawatchdog.com/biden-desperate-as-vax-narrative-falls-apart-clif-high/,,Hunter Biden
2021-08-12T15:56:00Z,Mailbag,https://wng.org/articles/mailbag-1628648379,,Hunter Biden
2021-08-12T14:49:08Z,Hunter Biden CONFESSES In Leaked Video That The Russians Have ‘SICKENING VIDEOS’ of Him Committing ‘F**king Crazy Sex Acts’ On Victims,https://freerepublic.com/focus/f-bloggers/3984376/posts,,Hunter Biden
